[2025-04-29T20:51:13.946+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-29T20:51:13.962+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:51:12.528007+00:00 [queued]>
[2025-04-29T20:51:13.969+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:51:12.528007+00:00 [queued]>
[2025-04-29T20:51:13.969+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-04-29T20:51:13.980+0000] {taskinstance.py:2889} INFO - Executing <Task(_PythonDecoratedOperator): check_historical_news> on 2025-04-29 20:51:12.528007+00:00
[2025-04-29T20:51:13.985+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=92) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-29T20:51:14.140+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-03-04 00:00:00: missing
[2025-04-29T20:51:14.141+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-03-04 00:00:00
[2025-04-29T20:51:14.142+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-02-25 00:00:00: missing
[2025-04-29T20:51:14.142+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-02-25 00:00:00
[2025-04-29T20:51:14.144+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-02-18 00:00:00: missing
[2025-04-29T20:51:14.144+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-02-18 00:00:00
[2025-04-29T20:51:14.145+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-02-11 00:00:00: missing
[2025-04-29T20:51:14.145+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-02-11 00:00:00
[2025-04-29T20:51:14.146+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-29 00:00:00: missing
[2025-04-29T20:51:14.147+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-04-29 00:00:00
[2025-04-29T20:51:14.148+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-22 00:00:00: exists
[2025-04-29T20:51:14.149+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-15 00:00:00: exists
[2025-04-29T20:51:14.150+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-08 00:00:00: exists
[2025-04-29T20:51:14.152+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-01 00:00:00: exists
[2025-04-29T20:51:14.154+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-03-25 00:00:00: missing
[2025-04-29T20:51:14.154+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-03-25 00:00:00
